"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"Eu60100","Personality disorders","38371","[X]Schizoid personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"425591000006118","52954000","88108012","cleansedreadcode"
"Eu60200","Personality disorders","31632","[X]Dissocial personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"378071000006112","26665006","483298014","cleansedreadcode"
"Eu60211","Personality disorders","105029","[X]Amoral personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"363081000006112","26665006","483298014","cleansedreadcode"
"Eu60212","Personality disorders","32869","[X]Antisocial personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"363561000006112","26665006","44645013","cleansedreadcode"
"Eu60213","Personality disorders","56502","[X]Asocial personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"363921000006112","26665006","483298014","cleansedreadcode"
"Eu60214","Personality disorders","21671","[X]Psychopathic personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"424211000006110","26665006","483297016","cleansedreadcode"
"Eu60215","Personality disorders","45188","[X]Sociopathic personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"427091000006119","26665006","483299018","cleansedreadcode"
"Eu60300","Personality disorders","7745","[X]Emotionally unstable personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"379701000006110","191765005","295065010","cleansedreadcode"
"Eu60311","Personality disorders","20839","[X]Aggressive personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"362851000006118","191765005","295065010","cleansedreadcode"
"Eu60312","Personality disorders","31789","[X]Borderline personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"367941000006111","20010003","33677019","cleansedreadcode"
"Eu60313","Personality disorders","58693","[X]Explosive personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"380611000006117","191765005","295065010","cleansedreadcode"
"Eu60400","Personality disorders","43690","[X]Histrionic personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"388871000006111","55341008","92006017","cleansedreadcode"
"Eu60411","Personality disorders","27945","[X]Hysterical personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"389441000006113","55341008","497204019","cleansedreadcode"
"Eu60412","Personality disorders","69185","[X]Psychoinfantile personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"424161000006118","55341008","92006017","cleansedreadcode"
"Eu60500","Personality disorders","52465","[X]Anankastic personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"363221000006116","1376001","475488010","cleansedreadcode"
"Eu60511","Personality disorders","38100","[X]Compulsive personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"371341000006110","1376001","475488010","cleansedreadcode"
"Eu60512","Personality disorders","22259","[X]Obsessional personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"400311000006117","473457009","2957127011","cleansedreadcode"
"Eu60513","Personality disorders","17420","[X]Obsessive-compulsive personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"400351000006116","1376001","475488010","cleansedreadcode"
"Eu60600","Personality disorders","8424","[X]Anxious [avoidant] personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"363691000006117","231528008","347013012","cleansedreadcode"
"Eu60700","Personality disorders","31819","[X]Dependent personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"376671000006117","84466009","140060016","cleansedreadcode"
"Eu60711","Personality disorders","39535","[X]Asthenic personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"366421000006114","84466009","140060016","cleansedreadcode"
"Eu60712","Personality disorders","38031","[X]Inadequate personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"389581000006115","84466009","140060016","cleansedreadcode"
"Eu60713","Personality disorders","33741","[X]Passive personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"418531000006117","84466009","140060016","cleansedreadcode"
"Eu60714","Personality disorders","59008","[X]Self defeating personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"425841000006112","84466009","140060016","cleansedreadcode"
"Eu60800","Personality disorders","40104","[X]Addictive personality","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"2160091013","404684003","2156578010","cleansedreadcode"
"Eu60y00","Personality disorders","49600","[X]Other specific personality disorders","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"401898014","33449004","55821010","cleansedreadcode"
"Eu60y11","Personality disorders","55969","[X]Eccentric personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"379511000006118","33449004","55821010","cleansedreadcode"
"Eu60y12","Personality disorders","71431","[X]Haltlose type personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"388391000006117","33449004","55821010","cleansedreadcode"
"Eu60y13","Personality disorders","49779","[X]Immature personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"389491000006116","33449004","55821010","cleansedreadcode"
"Eu60y14","Personality disorders","53335","[X]Narcissistic personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"399451000006114","80711002","133885012","cleansedreadcode"
"Eu60y16","Personality disorders","50348","[X]Psychoneurotic personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"424201000006112","268634009","401785014","cleansedreadcode"
"Eu60z00","Personality disorders","42496","[X]Personality disorder, unspecified","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"296488011","33449004","55821010","cleansedreadcode"
"Eu60z11","Personality disorders","57567","[X]Character neurosis NOS","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"1222259010","33449004","55821010","cleansedreadcode"
"Eu60z12","Personality disorders","49721","[X]Pathological personality NOS","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"418571000006119","33449004","55821010","cleansedreadcode"
"Eu61.00","Personality disorders","30603","[X]Mixed and other personality disorders","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"296489015","33449004","55821010","cleansedreadcode"
